Ann‚e faits;Montant total;Date faits;Cat‚gorie;Langue;RŠglement;Infractions;Lieu
2020;58,00 ?;05-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;70.2.1.1ø;Boulevard du Souverain, 53 1160 AUDERGHEM
2020;58,00 ?;05-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;70.2.1.1ø;Boulevard du Souverain 53, 1160 AUDERGHEM
2020;58,00 ?;05-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;77.4;Place Edouard Pinoy, 1 1160 AUDERGHEM
2020;58,00 ?;05-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;25.1.9ø;DrŠve des Deux Moutiers, 2 1160 AUDERGHEM
2020;58,00 ?;05-03-20;Stationnement;N‚erlandais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;77.5;Jules Cockxstraat, 9 1160 AUDERGHEM
2020;116,00 ?;05-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;24.al.1;Rue Jules Cockx 9, 1160 AUDERGHEM
2020;58,00 ?;05-03-20;Stationnement;N‚erlandais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;25.1.10ø;Jules Cockxstraat, 9 1160 AUDERGHEM
2020;58,00 ?;05-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;77.5;Rue Jules Cockx, 9 1160 AUDERGHEM
2020;58,00 ?;05-03-20;Stationnement;N‚erlandais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;77.5;Jules Cockxstraat 9, 1160 AUDERGHEM
2020;58,00 ?;05-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;77.5;Rue Jules Cockx, 9 1160 AUDERGHEM
2020;58,00 ?;05-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;77.5;Jules Cockxstraat, 9 1160 AUDERGHEM
2020;58,00 ?;05-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;77.5;Rue Jules Cockx 9, 1160 AUDERGHEM
